Team,S.No,Player,Nationality,Category,Role,Key Strength,Weakness
Colombo Kaps,1,Ben McDermott,Australia,Star,Explosive Opener/WK,Power hitting top order,Away conditions
Colombo Kaps,2,Kamindu Mendis,Sri Lanka,Star,Middle Order Bat/Spin,360-degree batting,Inconsistent form
Colombo Kaps,3,Jimmy Neesham,New Zealand,Icon,All-Rounder,Bat + seam combo,Injury history
Colombo Kaps,4,Kusal Mendis,Sri Lanka,Icon,WK-Batsman,Aggressive stroke play,Chasing pressure
Colombo Kaps,5,Anthony Arul Pragasam,Sri Lanka,Classic,Batsman,Local knowledge,Limited intl exp
Colombo Kaps,6,Wanuja Sahan,Sri Lanka,Gold,Batsman/WK,Reliable middle order,Lacks big match exp
Colombo Kaps,7,Malsha Tharupathi,Sri Lanka,Emerging U23,All-Rounder,Young talent,Inexperience
Colombo Kaps,8,Sharujan Shanmuganathan,Sri Lanka,Emerging U23,Batsman,Future prospect,Raw talent
Colombo Kaps,9,Kushal Bhurtel,Nepal,Associate Stars,Batsman,Attacking opener,Inconsistent
Colombo Kaps,10,Mohammad Haris,Pakistan,Classic,WK-Batsman,Big hitter,Playing XI uncertainty
Colombo Kaps,11,Hasan Mahmud,Bangladesh,Classic,Fast Bowler,Yorker specialist,Expensive in powerplay
Colombo Kaps,12,Jeffrey Vandersay,Sri Lanka,Classic,Leg-Spin,Wicket taker,Costly in flat pitches
Colombo Kaps,13,Thanuka Dabare,Sri Lanka,Classic,Batsman,Steady lower order,Defensive approach
Colombo Kaps,14,Movin Subasingha,Sri Lanka,Classic,All-Rounder,Utility player,Limited power
Colombo Kaps,15,Shahnawaz Ali Dahani,Pakistan,Gold,Fast Bowler,Raw pace & swing,Expensive spells
Colombo Kaps,16,Sadeera Samarawickrama,Sri Lanka,Gold,WK-Batsman,Anchor + finisher,Middle overs slow
Colombo Kaps,17,Milan Rathnayake,Sri Lanka,Gold,Fast Bowler,Pace variation,Experience gap
Colombo Kaps,18,Janith Liyanage,Sri Lanka,Gold,All-Rounder,Death hitting,Bowling form
Colombo Kaps,19,Mujeeb Ur Rahman,Afghanistan,Platinum,Mystery Spinner,Wicket taker T20 specialist,Batting zero
Colombo Kaps,20,Binura Fernando,Sri Lanka,Platinum,Left-Arm Fast,Swing + pace combo,Injury prone
Galle Gallants,1,Litton Kumar Das,Bangladesh,Star,WK-Batsman,Elegant opener,Spin in middle
Galle Gallants,2,Eshan Malinga,Sri Lanka,Star,Fast Bowler,Pace & reverse swing,Inexperienced intl
Galle Gallants,3,Rassie van der Dussen,South Africa,Icon,Middle Order Bat,Solid anchor,Slow SR in T20
Galle Gallants,4,Dasun Shanaka,Sri Lanka,Icon,All-Rounder/Captain,Leadership + lower order,Inconsistent batting
Galle Gallants,5,Sachindu Colombage,Sri Lanka,Classic,Batsman,Local knowledge,Limited power
Galle Gallants,6,Kasun Rajitha,Sri Lanka,Gold,Fast Bowler,Swing in powerplay,Death bowling leaks
Galle Gallants,7,Dinura Kalupahana,Sri Lanka,Emerging U23,Fast Bowler,Raw pace,Inexperience
Galle Gallants,8,Uri Koththigoda,Sri Lanka,Emerging U23,Batsman,Young talent,Underpressure
Galle Gallants,9,Haider Ali,UAE,Associate Stars,Batsman,Explosive,Inconsistent
Galle Gallants,10,Sam Harper,Australia,Classic,WK-Batsman,Aggressive batting,Away conditions
Galle Gallants,11,Mehidy Hassan Miraz,Bangladesh,Classic,Off-Spin All-Rounder,Bat + spin combo,Pace attack
Galle Gallants,12,Sahan Arachchige,Sri Lanka,Classic,Batsman,Middle order depth,Limited intl
Galle Gallants,13,Chamika Karunarathna,Sri Lanka,Classic,All-Rounder,Dual utility,Batting form
Galle Gallants,14,Tharindu Rathnayake,Sri Lanka,Classic,Bowler,Variation,Limited matches
Galle Gallants,15,Akif Javed,Pakistan,Gold,Fast Bowler,Left-arm pace,Expensive at times
Galle Gallants,16,Pramod Madushan,Sri Lanka,Gold,Fast Bowler,Wicket taking ability,Injury history
Galle Gallants,17,Lasith Croospulle,Sri Lanka,Gold,Batsman,Finisher role,Limited exp
Galle Gallants,18,Vijayakanth Viyaskanth,Sri Lanka,Gold,All-Rounder,Dual role,Consistency
Galle Gallants,19,Muhammad Nawaz,Pakistan,Platinum,Left-Arm Spin All-Rounder,Bat + bowl balance,Pace on slow tracks
Galle Gallants,20,Charith Asalanka,Sri Lanka,Platinum,Batsman,Anchoring + Finishing,Powerplay starts
Jaffna Kings,1,Taskin Ahmed,Bangladesh,Star,Fast Bowler,Top class pace,Expensive powerplay
Jaffna Kings,2,Dunith Wellalage,Sri Lanka,Star,Left-Arm Spin All-Rounder,Spin + bat combo,Big match nerves
Jaffna Kings,3,Shakib Al Hasan,Bangladesh,Icon,All-Rounder,Experience & versatility,Age & fitness
Jaffna Kings,4,Bhanuka Rajapaksa,Sri Lanka,Icon,WK-Batsman,Aggressive opener,Consistency
Jaffna Kings,5,Nishan Madushka,Sri Lanka,Gold,Batsman,Top order depth,Middle over scoring
Jaffna Kings,6,Kugathas Mathulan,Sri Lanka,Emerging U23,Batsman,Young prospect,Raw
Jaffna Kings,7,Praveen Manisha,Sri Lanka,Emerging U23,Bowler,Emerging talent,Limited matches
Jaffna Kings,8,Dipendra Singh Airee,Nepal,Associate Stars,All-Rounder,Hard-hitting,Bowling leaks
Jaffna Kings,9,Sandeep Lamichhane,Nepal,Classic,Leg-Spin,Googly & wickets,Flat pitches
Jaffna Kings,10,Lizaad Williams,South Africa,Classic,Fast Bowler,Death bowling,Costly spells
Jaffna Kings,11,Mohommed Shiraz,Sri Lanka,Classic,Bowler,Local knowledge,Experience gap
Jaffna Kings,12,Chamindu Wickramasinghe,Sri Lanka,Classic,Batsman,Middle order,Big stage jitters
