nationality,total_players,teams_represented,key_players,typical_role,value_tier
Sri Lanka,52,All 5,Kamindu Mendis / Kusal Mendis / Wanindu Hasaranga / Charith Asalanka / Maheesh Theekshana,Core squad backbone,High
Bangladesh,5,Colombo Kaps / Galle Gallants / Jaffna Kings,Taskin Ahmed / Shakib Al Hasan / Litton Das / Hasan Mahmud / Mehidy Miraz,Key overseas slots,Very High
Afghanistan,6,Colombo Kaps / Jaffna Kings / Dambulla Sixers / Kandy Royals,Mujeeb Ur Rahman / Fazalhaq Farooqi / Rahmanullah Gurbaz / Ibrahim Zadran / Zahir Khan / Gulbadin Naib,Specialist T20 skills,Very High
Pakistan,6,Colombo Kaps / Galle Gallants / Dambulla Sixers,Mohammad Haris / Muhammad Nawaz / Dahani / Sahibzada Farhan / Akif Javed / Wasim Jr.,Pace and all-round,High
South Africa,6,Galle Gallants / Jaffna Kings / Dambulla Sixers / Kandy Royals,Rassie van der Dussen / Reeza Hendricks / David Wiese / Lizaad Williams / Dian Forrester,Batting and pace,High
Australia,3,Colombo Kaps / Galle Gallants / Kandy Royals,Ben McDermott / Sam Harper / Daniel Sams,Power hitting and adaptability,High
New Zealand,2,Colombo Kaps / Kandy Royals,Jimmy Neesham / Dale Phillips,All-round capability,Medium
England,1,Kandy Royals,Moeen Ali,Elite all-round experience,Very High
India,1,Kandy Royals,Vijay Shankar,Batting and medium pace,Medium
Nepal,3,Colombo Kaps / Jaffna Kings,Kushal Bhurtel / Sandeep Lamichhane / Dipendra Singh Airee,Specialist skills,Medium
UAE,1,Galle Gallants,Haider Ali,Hard hitting,Low-Medium
USA,1,Dambulla Sixers,Shadley van Schalkwyk,Specialist all-round,Low-Medium
Scotland,1,Kandy Royals,Brandon McMullen,Utility all-rounder,Low-Medium
